"redis_instances","throughput","type"
40,874164.44,non_ipc
40,875005.89,ipc_1_threads
40,870415.59,ipc_1_threads
40,881419.95,ipc_1_threads
40,866043.9,ipc_1_threads
40,860239.83,ipc_1_threads
40,844948.81,ipc_2_threads
40,846413.12,ipc_2_threads
40,853134.34,ipc_2_threads
40,856146.67,ipc_2_threads
40,844044.63,ipc_2_threads
40,830335.58,ipc_4_threads
40,825638.11,ipc_4_threads
40,835953.54,ipc_4_threads
40,816556.48,ipc_4_threads
40,806731.94,ipc_4_threads
40,807122.14,ipc_8_threads
40,790712.84,ipc_8_threads
40,806200.72,ipc_8_threads
40,802588.83,ipc_8_threads
40,806447.67,ipc_8_threads
40,792920.14,ipc_16_threads
40,792219.69,ipc_16_threads
40,789172.32,ipc_16_threads
40,817568.66,ipc_16_threads
40,806960.99,ipc_16_threads
40,818507.41,ipc_24_threads
40,836721.26,ipc_24_threads
40,821625.91,ipc_24_threads
40,838281.32,ipc_24_threads
40,807995.12,ipc_24_threads
40,882568.02,ipc_32_threads
40,883816.34,ipc_32_threads
40,881947.26,ipc_32_threads
40,853762.57,ipc_32_threads
40,850961.36,ipc_32_threads
40,895918.33,ipc_40_threads
40,889402.56,ipc_40_threads
40,867357.74,ipc_40_threads
40,902170.12,ipc_40_threads
40,878760.65,ipc_40_threads
40,888185.7,ipc_64_threads
40,944638.25,ipc_64_threads
40,877645.5,ipc_64_threads
40,904070.41,ipc_64_threads
40,882876.86,ipc_64_threads
45,874124.02,non_ipc
45,888690.69,non_ipc
45,901324.21,non_ipc
45,886789.45,non_ipc
45,871023.89,non_ipc
45,881998.95,ipc_1_threads
45,871757.11,ipc_1_threads
45,854368.66,ipc_1_threads
45,881866.91,ipc_1_threads
45,860603.84,ipc_1_threads
45,846562.58,ipc_2_threads
45,845549.0,ipc_2_threads
45,848020.1,ipc_2_threads
45,850898.07,ipc_2_threads
45,863535.53,ipc_2_threads
45,840924.99,ipc_4_threads
45,833974.02,ipc_4_threads
45,834013.24,ipc_4_threads
45,834378.79,ipc_4_threads
45,832192.3,ipc_4_threads
45,818823.91,ipc_8_threads
45,815471.41,ipc_8_threads
45,817845.88,ipc_8_threads
45,820705.58,ipc_8_threads
45,810412.96,ipc_8_threads
45,830087.56,ipc_16_threads
45,814253.42,ipc_16_threads
45,815901.52,ipc_16_threads
45,810153.41,ipc_16_threads
45,828627.0,ipc_16_threads
45,850649.15,ipc_24_threads
45,829458.92,ipc_24_threads
45,853826.19,ipc_24_threads
45,843969.12,ipc_24_threads
45,829832.47,ipc_24_threads
45,879510.14,ipc_32_threads
45,882003.74,ipc_32_threads
45,901397.42,ipc_32_threads
45,906289.81,ipc_32_threads
45,828839.25,ipc_32_threads
45,888387.38,ipc_40_threads
45,891453.57,ipc_40_threads
45,941362.66,ipc_40_threads
45,874369.29,ipc_40_threads
45,890571.13,ipc_40_threads
45,911039.3,ipc_64_threads
45,945318.98,ipc_64_threads
45,925125.83,ipc_64_threads
45,915752.52,ipc_64_threads
45,872817.34,ipc_64_threads
50,873261.19,non_ipc
50,869723.96,non_ipc
50,872931.53,non_ipc
50,869607.77,non_ipc
50,863575.31,non_ipc
50,868108.59,ipc_1_threads
50,855306.43,ipc_1_threads
50,880841.54,ipc_1_threads
50,865639.23,ipc_1_threads
50,870749.46,ipc_1_threads
50,849649.31,ipc_2_threads
50,847412.83,ipc_2_threads
50,857396.01,ipc_2_threads
50,853839.83,ipc_2_threads
50,850671.43,ipc_2_threads
50,833901.45,ipc_4_threads
50,836081.22,ipc_4_threads
50,840595.41,ipc_4_threads
50,833863.15,ipc_4_threads
50,840619.2,ipc_4_threads
50,841435.62,ipc_8_threads
50,833060.45,ipc_8_threads
50,828813.78,ipc_8_threads
50,835530.2,ipc_8_threads
50,827459.36,ipc_8_threads
50,832097.0,ipc_16_threads
50,832707.69,ipc_16_threads
50,823893.97,ipc_16_threads
50,836912.94,ipc_16_threads
50,830982.39,ipc_16_threads
50,854675.21,ipc_24_threads
50,860144.38,ipc_24_threads
50,849910.75,ipc_24_threads
50,860253.95,ipc_24_threads
50,845663.77,ipc_24_threads
50,864661.99,ipc_32_threads
50,949301.76,ipc_32_threads
50,907739.32,ipc_32_threads
50,879009.64,ipc_32_threads
50,911030.27,ipc_32_threads
50,878748.62,ipc_40_threads
50,945211.69,ipc_40_threads
50,894001.39,ipc_40_threads
50,939815.22,ipc_40_threads
50,879697.14,ipc_40_threads
50,982513.86,ipc_64_threads
50,970785.52,ipc_64_threads
50,952371.35,ipc_64_threads
50,981472.92,ipc_64_threads
50,968540.83,ipc_64_threads
15,476351.36,ipc_40_threads
15,459908.39,ipc_40_threads
15,443430.98,ipc_40_threads
15,437854.27,ipc_40_threads
15,458889.52,ipc_40_threads
15,446210.13,ipc_64_threads
15,450576.01,ipc_64_threads
15,451925.9,ipc_64_threads
15,455214.95,ipc_64_threads
15,408470.19,ipc_64_threads
